Models,Fights Won
gemini-2.5-flash,0
gemini-2.5-flash-lite,0
gemini-1.5-pro,0
llama-3.1-8b-instant,0
llama-3.3-70b-versatile,0
qwen/qwen3-32b,0
openai/gpt-oss-120b,0
openai/gpt-oss-20b,0
deepseek-ai/DeepSeek-V3,0
deepseek-ai/DeepSeek-R1,0
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0
Qwen/Qwen2.5-7B-Instruct,0
Qwen/Qwen2.5-14B-Instruct,0
Qwen/Qwen2.5-32B-Instruct,0
Qwen/Qwen2.5-72B-Instruct,0
google/gemma-2-9b-it,0
google/gemma-2-27b-it,0
mistralai/Mistral-7B-Instruct-v0.3,0
mistralai/Mixtral-8x7B-Instruct-v0.1,0
